curve_name,prime,order,algorithm,trial,secret,operations,additions,doublings,solved
p=499,499,252,Brute Force,12,120,119,118,1,True
p=499,499,252,Baby-Step Giant-Step,12,120,27,21,6,True
p=499,499,252,Pollard Rho,12,120,0,0,0,False
p=499,499,252,Pollard Kangaroo,12,120,408,374,34,True
p=499,499,252,Brute Force,13,237,236,235,1,True
p=499,499,252,Baby-Step Giant-Step,13,237,34,28,6,True
p=499,499,252,Pollard Rho,13,237,0,0,0,False
p=499,499,252,Pollard Kangaroo,13,237,416,382,34,True
p=499,499,252,Brute Force,14,182,181,180,1,True
p=499,499,252,Baby-Step Giant-Step,14,182,31,25,6,True
p=499,499,252,Pollard Rho,14,182,0,0,0,False
p=499,499,252,Pollard Kangaroo,14,182,417,383,34,True
p=499,499,252,Brute Force,15,213,212,211,1,True
p=499,499,252,Baby-Step Giant-Step,15,213,33,27,6,True
p=499,499,252,Pollard Rho,15,213,0,0,0,False
p=499,499,252,Pollard Kangaroo,15,213,414,380,34,True
p=499,499,252,Brute Force,16,224,223,222,1,True
p=499,499,252,Baby-Step Giant-Step,16,224,33,27,6,True
p=499,499,252,Pollard Rho,16,224,0,0,0,False
p=499,499,252,Pollard Kangaroo,16,224,415,381,34,True
p=499,499,252,Brute Force,17,168,167,166,1,True
p=499,499,252,Baby-Step Giant-Step,17,168,30,24,6,True
p=499,499,252,Pollard Rho,17,168,0,0,0,False
p=499,499,252,Pollard Kangaroo,17,168,407,373,34,True
p=499,499,252,Brute Force,18,38,37,36,1,True
p=499,499,252,Baby-Step Giant-Step,18,38,22,16,6,True
p=499,499,252,Pollard Rho,18,38,280,199,81,True
p=499,499,252,Pollard Kangaroo,18,38,424,390,34,True
p=499,499,252,Brute Force,19,137,136,135,1,True
p=499,499,252,Baby-Step Giant-Step,19,137,28,22,6,True
p=499,499,252,Pollard Rho,19,137,0,0,0,False
p=499,499,252,Pollard Kangaroo,19,137,412,378,34,True
p=499,499,252,Brute Force,20,55,54,53,1,True
p=499,499,252,Baby-Step Giant-Step,20,55,23,17,6,True
p=499,499,252,Pollard Rho,20,55,0,0,0,False
p=499,499,252,Pollard Kangaroo,20,55,410,376,34,True
p=499,499,252,Brute Force,21,223,222,221,1,True
p=499,499,252,Baby-Step Giant-Step,21,223,33,27,6,True
p=499,499,252,Pollard Rho,21,223,0,0,0,False
p=499,499,252,Pollard Kangaroo,21,223,413,379,34,True
p=499,499,252,Brute Force,22,106,105,104,1,True
p=499,499,252,Baby-Step Giant-Step,22,106,26,20,6,True
p=499,499,252,Pollard Rho,22,106,0,0,0,False
p=499,499,252,Pollard Kangaroo,22,106,407,373,34,True
p=499,499,252,Brute Force,23,251,250,249,1,True
p=499,499,252,Baby-Step Giant-Step,23,251,35,29,6,True
p=499,499,252,Pollard Rho,23,251,29,13,16,True
p=499,499,252,Pollard Kangaroo,23,251,416,382,34,True
p=499,499,252,Brute Force,24,15,14,13,1,True
p=499,499,252,Baby-Step Giant-Step,24,15,20,14,6,True
p=499,499,252,Pollard Rho,24,15,228,155,73,True
p=499,499,252,Pollard Kangaroo,24,15,407,373,34,True
p=499,499,252,Brute Force,25,198,197,196,1,True
p=499,499,252,Baby-Step Giant-Step,25,198,32,26,6,True
p=499,499,252,Pollard Rho,25,198,0,0,0,False
p=499,499,252,Pollard Kangaroo,25,198,417,383,34,True
p=911,911,92,Brute Force,1,45,44,43,1,True
p=911,911,92,Baby-Step Giant-Step,1,45,18,13,5,True
p=911,911,92,Pollard Rho,1,45,0,0,0,False
p=911,911,92,Pollard Kangaroo,1,45,260,212,48,True
p=911,911,92,Brute Force,2,81,80,79,1,True
p=911,911,92,Baby-Step Giant-Step,2,81,22,17,5,True
p=911,911,92,Pollard Rho,2,81,71,40,31,True
p=911,911,92,Pollard Kangaroo,2,81,262,214,48,True
p=911,911,92,Brute Force,3,54,53,52,1,True
p=911,911,92,Baby-Step Giant-Step,3,54,19,14,5,True
p=911,911,92,Pollard Rho,3,54,0,0,0,False
p=911,911,92,Pollard Kangaroo,3,54,263,215,48,True
p=911,911,92,Brute Force,4,60,59,58,1,True
p=911,911,92,Baby-Step Giant-Step,4,60,19,14,5,True
p=911,911,92,Pollard Rho,4,60,0,0,0,False
p=911,911,92,Pollard Kangaroo,4,60,260,212,48,True
p=911,911,92,Brute Force,5,16,15,14,1,True
p=911,911,92,Baby-Step Giant-Step,5,16,15,10,5,True
p=911,911,92,Pollard Rho,5,16,0,0,0,False
p=911,911,92,Pollard Kangaroo,5,16,265,217,48,True
p=911,911,92,Brute Force,6,18,17,16,1,True
p=911,911,92,Baby-Step Giant-Step,6,18,15,10,5,True
p=911,911,92,Pollard Rho,6,18,0,0,0,False
p=911,911,92,Pollard Kangaroo,6,18,260,212,48,True
p=911,911,92,Brute Force,7,42,41,40,1,True
p=911,911,92,Baby-Step Giant-Step,7,42,18,13,5,True
p=911,911,92,Pollard Rho,7,42,0,0,0,False
p=911,911,92,Pollard Kangaroo,7,42,266,218,48,True
p=911,911,92,Brute Force,8,50,49,48,1,True
p=911,911,92,Baby-Step Giant-Step,8,50,18,13,5,True
p=911,911,92,Pollard Rho,8,50,0,0,0,False
p=911,911,92,Pollard Kangaroo,8,50,265,217,48,True
p=911,911,92,Brute Force,9,43,42,41,1,True
p=911,911,92,Baby-Step Giant-Step,9,43,18,13,5,True
p=911,911,92,Pollard Rho,9,43,0,0,0,False
p=911,911,92,Pollard Kangaroo,9,43,262,214,48,True
p=911,911,92,Brute Force,10,45,44,43,1,True
p=911,911,92,Baby-Step Giant-Step,10,45,18,13,5,True
p=911,911,92,Pollard Rho,10,45,0,0,0,False
p=911,911,92,Pollard Kangaroo,10,45,260,212,48,True
p=911,911,92,Brute Force,11,26,25,24,1,True
p=911,911,92,Baby-Step Giant-Step,11,26,16,11,5,True
p=911,911,92,Pollard Rho,11,26,28,15,13,True
p=911,911,92,Pollard Kangaroo,11,26,264,216,48,True
p=911,911,92,Brute Force,12,42,41,40,1,True
p=911,911,92,Baby-Step Giant-Step,12,42,18,13,5,True
p=911,911,92,Pollard Rho,12,42,27,15,12,True
p=911,911,92,Pollard Kangaroo,12,42,266,218,48,True
p=911,911,92,Brute Force,13,55,54,53,1,True
p=911,911,92,Baby-Step Giant-Step,13,55,19,14,5,True
p=911,911,92,Pollard Rho,13,55,0,0,0,False
p=911,911,92,Pollard Kangaroo,13,55,260,212,48,True
p=911,911,92,Brute Force,14,54,53,52,1,True
p=911,911,92,Baby-Step Giant-Step,14,54,19,14,5,True
p=911,911,92,Pollard Rho,14,54,0,0,0,False
p=911,911,92,Pollard Kangaroo,14,54,263,215,48,True
p=911,911,92,Brute Force,15,41,40,39,1,True
p=911,911,92,Baby-Step Giant-Step,15,41,18,13,5,True
p=911,911,92,Pollard Rho,15,41,0,0,0,False
p=911,911,92,Pollard Kangaroo,15,41,264,216,48,True
p=911,911,92,Brute Force,16,73,72,71,1,True
p=911,911,92,Baby-Step Giant-Step,16,73,21,16,5,True
p=911,911,92,Pollard Rho,16,73,223,126,97,True
p=911,911,92,Pollard Kangaroo,16,73,260,212,48,True
p=911,911,92,Brute Force,17,28,27,26,1,True
p=911,911,92,Baby-Step Giant-Step,17,28,16,11,5,True
p=911,911,92,Pollard Rho,17,28,0,0,0,False
p=911,911,92,Pollard Kangaroo,17,28,265,217,48,True
p=911,911,92,Brute Force,18,53,52,51,1,True
p=911,911,92,Baby-Step Giant-Step,18,53,19,14,5,True
p=911,911,92,Pollard Rho,18,53,45,22,23,True
p=911,911,92,Pollard Kangaroo,18,53,260,212,48,True
p=911,911,92,Brute Force,19,30,29,28,1,True
p=911,911,92,Baby-Step Giant-Step,19,30,16,11,5,True
p=911,911,92,Pollard Rho,19,30,0,0,0,False
p=911,911,92,Pollard Kangaroo,19,30,262,214,48,True
p=911,911,92,Brute Force,20,27,26,25,1,True
p=911,911,92,Baby-Step Giant-Step,20,27,16,11,5,True
p=911,911,92,Pollard Rho,20,27,0,0,0,False
p=911,911,92,Pollard Kangaroo,20,27,263,215,48,True
p=911,911,92,Brute Force,21,6,5,4,1,True
p=911,911,92,Baby-Step Giant-Step,21,6,14,9,5,True
p=911,911,92,Pollard Rho,21,6,29,12,17,True
p=911,911,92,Pollard Kangaroo,21,6,264,216,48,True
p=911,911,92,Brute Force,22,29,28,27,1,True
p=911,911,92,Baby-Step Giant-Step,22,29,16,11,5,True
p=911,911,92,Pollard Rho,22,29,0,0,0,False
p=911,911,92,Pollard Kangaroo,22,29,264,216,48,True
p=911,911,92,Brute Force,23,3,2,1,1,True
p=911,911,92,Baby-Step Giant-Step,23,3,14,9,5,True
p=911,911,92,Pollard Rho,23,3,0,0,0,False
p=911,911,92,Pollard Kangaroo,23,3,260,212,48,True
p=911,911,92,Brute Force,24,34,33,32,1,True
p=911,911,92,Baby-Step Giant-Step,24,34,17,12,5,True
p=911,911,92,Pollard Rho,24,34,0,0,0,False
p=911,911,92,Pollard Kangaroo,24,34,263,215,48,True
p=911,911,92,Brute Force,25,65,64,63,1,True
p=911,911,92,Baby-Step Giant-Step,25,65,20,15,5,True
p=911,911,92,Pollard Rho,25,65,0,0,0,False
p=911,911,92,Pollard Kangaroo,25,65,263,215,48,True
p=1237,1237,108,Brute Force,1,41,40,39,1,True
p=1237,1237,108,Baby-Step Giant-Step,1,41,19,14,5,True
p=1237,1237,108,Pollard Rho,1,41,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,1,41,255,190,65,True
p=1237,1237,108,Brute Force,2,99,98,97,1,True
p=1237,1237,108,Baby-Step Giant-Step,2,99,24,19,5,True
p=1237,1237,108,Pollard Rho,2,99,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,2,99,252,187,65,True
p=1237,1237,108,Brute Force,3,73,72,71,1,True
p=1237,1237,108,Baby-Step Giant-Step,3,73,22,17,5,True
p=1237,1237,108,Pollard Rho,3,73,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,3,73,253,188,65,True
p=1237,1237,108,Brute Force,4,103,102,101,1,True
p=1237,1237,108,Baby-Step Giant-Step,4,103,25,20,5,True
p=1237,1237,108,Pollard Rho,4,103,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,4,103,252,187,65,True
p=1237,1237,108,Brute Force,5,91,90,89,1,True
p=1237,1237,108,Baby-Step Giant-Step,5,91,24,19,5,True
p=1237,1237,108,Pollard Rho,5,91,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,5,91,252,187,65,True
p=1237,1237,108,Brute Force,6,54,53,52,1,True
p=1237,1237,108,Baby-Step Giant-Step,6,54,20,15,5,True
p=1237,1237,108,Pollard Rho,6,54,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,6,54,255,190,65,True
p=1237,1237,108,Brute Force,7,79,78,77,1,True
p=1237,1237,108,Baby-Step Giant-Step,7,79,23,18,5,True
p=1237,1237,108,Pollard Rho,7,79,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,7,79,252,187,65,True
p=1237,1237,108,Brute Force,8,15,14,13,1,True
p=1237,1237,108,Baby-Step Giant-Step,8,15,17,12,5,True
p=1237,1237,108,Pollard Rho,8,15,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,8,15,257,192,65,True
p=1237,1237,108,Brute Force,9,43,42,41,1,True
p=1237,1237,108,Baby-Step Giant-Step,9,43,19,14,5,True
p=1237,1237,108,Pollard Rho,9,43,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,9,43,254,189,65,True
p=1237,1237,108,Brute Force,10,84,83,82,1,True
p=1237,1237,108,Baby-Step Giant-Step,10,84,23,18,5,True
p=1237,1237,108,Pollard Rho,10,84,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,10,84,253,188,65,True
p=1237,1237,108,Brute Force,11,78,77,76,1,True
p=1237,1237,108,Baby-Step Giant-Step,11,78,23,18,5,True
p=1237,1237,108,Pollard Rho,11,78,176,78,98,True
p=1237,1237,108,Pollard Kangaroo,11,78,254,189,65,True
p=1237,1237,108,Brute Force,12,100,99,98,1,True
p=1237,1237,108,Baby-Step Giant-Step,12,100,25,20,5,True
p=1237,1237,108,Pollard Rho,12,100,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,12,100,252,187,65,True
p=1237,1237,108,Brute Force,13,30,29,28,1,True
p=1237,1237,108,Baby-Step Giant-Step,13,30,18,13,5,True
p=1237,1237,108,Pollard Rho,13,30,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,13,30,252,187,65,True
p=1237,1237,108,Brute Force,14,31,30,29,1,True
p=1237,1237,108,Baby-Step Giant-Step,14,31,18,13,5,True
p=1237,1237,108,Pollard Rho,14,31,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,14,31,257,192,65,True
p=1237,1237,108,Brute Force,15,60,59,58,1,True
p=1237,1237,108,Baby-Step Giant-Step,15,60,21,16,5,True
p=1237,1237,108,Pollard Rho,15,60,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,15,60,254,189,65,True
p=1237,1237,108,Brute Force,16,47,46,45,1,True
p=1237,1237,108,Baby-Step Giant-Step,16,47,20,15,5,True
p=1237,1237,108,Pollard Rho,16,47,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,16,47,256,191,65,True
p=1237,1237,108,Brute Force,17,18,17,16,1,True
p=1237,1237,108,Baby-Step Giant-Step,17,18,17,12,5,True
p=1237,1237,108,Pollard Rho,17,18,70,32,38,True
p=1237,1237,108,Pollard Kangaroo,17,18,256,191,65,True
p=1237,1237,108,Brute Force,18,26,25,24,1,True
p=1237,1237,108,Baby-Step Giant-Step,18,26,18,13,5,True
p=1237,1237,108,Pollard Rho,18,26,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,18,26,258,193,65,True
p=1237,1237,108,Brute Force,19,48,47,46,1,True
p=1237,1237,108,Baby-Step Giant-Step,19,48,20,15,5,True
p=1237,1237,108,Pollard Rho,19,48,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,19,48,257,192,65,True
p=1237,1237,108,Brute Force,20,64,63,62,1,True
p=1237,1237,108,Baby-Step Giant-Step,20,64,21,16,5,True
p=1237,1237,108,Pollard Rho,20,64,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,20,64,252,187,65,True
p=1237,1237,108,Brute Force,21,77,76,75,1,True
p=1237,1237,108,Baby-Step Giant-Step,21,77,22,17,5,True
p=1237,1237,108,Pollard Rho,21,77,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,21,77,254,189,65,True
p=1237,1237,108,Brute Force,22,81,80,79,1,True
p=1237,1237,108,Baby-Step Giant-Step,22,81,23,18,5,True
p=1237,1237,108,Pollard Rho,22,81,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,22,81,254,189,65,True
p=1237,1237,108,Brute Force,23,19,18,17,1,True
p=1237,1237,108,Baby-Step Giant-Step,23,19,17,12,5,True
p=1237,1237,108,Pollard Rho,23,19,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,23,19,253,188,65,True
p=1237,1237,108,Brute Force,24,34,33,32,1,True
p=1237,1237,108,Baby-Step Giant-Step,24,34,19,14,5,True
p=1237,1237,108,Pollard Rho,24,34,0,0,0,False
p=1237,1237,108,Pollard Kangaroo,24,34,256,191,65,True
p=1237,1237,108,Brute Force,25,50,49,48,1,True
p=1237,1237,108,Baby-Step Giant-Step,25,50,20,15,5,True
p=1237,1237,108,Pollard Rho,25,50,141,76,65,True
p=1237,1237,108,Pollard Kangaroo,25,50,255,190,65,True
p=1613,1613,546,Brute Force,1,346,345,344,1,True
p=1613,1613,546,Baby-Step Giant-Step,1,346,43,37,6,True
p=1613,1613,546,Pollard Rho,1,346,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,1,346,626,579,47,True
p=1613,1613,546,Brute Force,2,344,343,342,1,True
p=1613,1613,546,Baby-Step Giant-Step,2,344,43,37,6,True
p=1613,1613,546,Pollard Rho,2,344,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,2,344,597,550,47,True
p=1613,1613,546,Brute Force,3,477,476,475,1,True
p=1613,1613,546,Baby-Step Giant-Step,3,477,48,42,6,True
p=1613,1613,546,Pollard Rho,3,477,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,3,477,615,568,47,True
p=1613,1613,546,Brute Force,4,174,173,172,1,True
p=1613,1613,546,Baby-Step Giant-Step,4,174,36,30,6,True
p=1613,1613,546,Pollard Rho,4,174,676,394,282,True
p=1613,1613,546,Pollard Kangaroo,4,174,609,562,47,True
p=1613,1613,546,Brute Force,5,136,135,134,1,True
p=1613,1613,546,Baby-Step Giant-Step,5,136,34,28,6,True
p=1613,1613,546,Pollard Rho,5,136,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,5,136,598,551,47,True
p=1613,1613,546,Brute Force,6,340,339,338,1,True
p=1613,1613,546,Baby-Step Giant-Step,6,340,43,37,6,True
p=1613,1613,546,Pollard Rho,6,340,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,6,340,598,551,47,True
p=1613,1613,546,Brute Force,7,212,211,210,1,True
p=1613,1613,546,Baby-Step Giant-Step,7,212,37,31,6,True
p=1613,1613,546,Pollard Rho,7,212,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,7,212,602,555,47,True
p=1613,1613,546,Brute Force,8,68,67,66,1,True
p=1613,1613,546,Baby-Step Giant-Step,8,68,31,25,6,True
p=1613,1613,546,Pollard Rho,8,68,0,0,0,False
p=1613,1613,546,Pollard Kangaroo,8,68,605,558,47,True
p=1613,1613,546,Brute Force,9,101,100,99,1,True
p=1613,1613,546,Baby-Step Giant-Step,9,101,33,27,6,True
